state,county,fips_state,fips_county,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed
California,Alameda County,6,6001,2010,253896,7984,0,NA
California,Alameda County,6,6001,2011,257887,7547,0,NA
California,Alameda County,6,6001,2012,261877,6556,0,NA
California,Alameda County,6,6001,2013,265868,6000,0,NA
California,Alameda County,6,6001,2014,269859,5544,0,NA
California,Alameda County,6,6001,2015,273849,4857,0,NA
California,Alameda County,6,6001,2016,277840,4275,0,NA
California,Alameda County,6,6001,2017,281831,4123,0,NA
California,Alpine County,6,6003,2010,140,15,0,NA
California,Alpine County,6,6003,2011,139,20,0,NA
California,Alpine County,6,6003,2012,138,6,0,NA
California,Alpine County,6,6003,2013,137,18,0,NA
California,Alpine County,6,6003,2014,135,18,0,NA
California,Alpine County,6,6003,2015,134,1,0,NA
California,Alpine County,6,6003,2016,133,6,0,NA
California,Alpine County,6,6003,2017,132,1,0,NA
California,Amador County,6,6005,2010,3686,112,0,NA
California,Amador County,6,6005,2011,3750,118,0,NA
California,Amador County,6,6005,2012,3814,122,0,NA
California,Amador County,6,6005,2013,3878,98,0,NA
California,Amador County,6,6005,2014,3941,108,0,NA
California,Amador County,6,6005,2015,4005,114,0,NA
California,Amador County,6,6005,2016,4069,111,0,NA
California,Amador County,6,6005,2017,4133,100,0,NA
California,Butte County,6,6007,2010,36627,1128,0,1103
California,Butte County,6,6007,2011,37060,1129,0,1103
California,Butte County,6,6007,2012,37493,1026,0,998
California,Butte County,6,6007,2013,37926,1012,0,1001
California,Butte County,6,6007,2014,38358,955,0,926
California,Butte County,6,6007,2015,38791,916,0,NA
California,Butte County,6,6007,2016,39224,874,0,NA
California,Butte County,6,6007,2017,39657,837,0,NA
California,Calaveras County,6,6009,2010,4366,232,0,NA
California,Calaveras County,6,6009,2011,4407,218,0,NA
California,Calaveras County,6,6009,2012,4448,178,0,NA
California,Calaveras County,6,6009,2013,4490,141,0,138
California,Calaveras County,6,6009,2014,4531,143,0,NA
California,Calaveras County,6,6009,2015,4572,122,0,NA
California,Calaveras County,6,6009,2016,4613,130,0,NA
California,Calaveras County,6,6009,2017,4654,150,0,NA
California,Colusa County,6,6011,2010,2738,46,0,46
California,Colusa County,6,6011,2011,2777,64,0,NA
California,Colusa County,6,6011,2012,2815,48,0,48
California,Colusa County,6,6011,2013,2854,39,0,38
California,Colusa County,6,6011,2014,2893,35,0,NA
California,Colusa County,6,6011,2015,2931,41,0,NA
California,Colusa County,6,6011,2016,2970,39,0,39
