city_name,year,entity_id,police_total,street_lighting,public_safety_exp,total_expend_gov,total_expend_prop,total_gov_rev,total_prop_rev,state_intergov,fed_intergov,county_intergov,transport_expend,public_transit,housing,total_fines_rev,penalties_rev,vehicle_fines,parks_and_rec,libraries,health_expend,culture_expend,total_expend,total_rev,own_source_rev,fines_share,vehicle_fines_share,parksrec_share,health_share,police_share,housing_share,libraries_share,culture_share,GEOID,NAMELSAD,GEOID_CTY,CTY_NAME,CTY_NAME_FULL,geometry,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi
Adelanto,2021,1128,7101102,,12658152,20580944,,22556106,,1640249,761554,0,543718,,,213709,191767,21942,254416,,0,587418,,,20154303,0.010603641316695497,0.0010887005122429687,,,,,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",37229,25260,483,19,5899,1660,167,51,3690,0.09911628031910608,0.15845174460769829,0.6785033173064009,0.017459507373284267
Adelanto,2020,1128,6875338,,12165501,26376314,,20455012,,1798160,,,498853,,,150893,128187,3698,231894,,0,585089,,,,,,,,,,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",34238,23192,451,15,5760,1356,70,33,3361,0.09816578071149015,0.1682341258251066,0.6773760149541446,0.015217010339388983
Adelanto,2019,1128,6238794,,10817830,30886709,,20232000,,2673798,,,3643755,,,183173,132406,11735,334291,,0,4723140,,,,,,,,,,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",33660,22154,538,8,5972,929,49,28,3982,0.11830065359477124,0.1774212715389186,0.6581699346405229,0.017439096850861556
Adelanto,2018,1128,5886045,,10811931,20531571,,18224861,,992000,,,1471775,,,209396,103064,10541,300924,,0,806645,,,,,,,,,,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",33416,21616,376,0,6439,884,66,54,3981,0.11913454632511372,0.19269212353363657,0.6468757481446014,0.013227196552549676
Adelanto,2017,1128,5636928,,8454147,16035685,,15171753,,287764,54608,0,1583832,,,216233,,20256,253085,,0,399904,,,14829381,0.01458139082137009,0.0013659369868506313,,,,,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",32867,20488,453,0,6687,588,105,44,4502,0.13697629841482337,0.20345635439802842,0.623360817841604,0.01697751544101987
Adelanto,2016,1128,5300217,126423,9331557,,,9591679,4974184,1020679,35326,0,2846195,0,0,204499,,,,,,,23692799,14565863,8535674,0.02395815491547592,,,,0.22370581880173804,0,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",32311,19902,497,12,5810,1007,0,47,5036,0.15586023335706106,0.1798149237101916,0.6159512240413482,0.015381758534245303
Adelanto,2015,1128,4358845,128077,7791973,,,7719757,6331854,1460495,80760,0,3455236,0,0,191722,,,,,,,15297952,14051611,6178502,0.031030498978554998,,,,0.2849299697109783,0,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",32059,18830,395,6,6205,808,0,48,5767,0.17988708319036775,0.1935493933060919,0.587354565020743,0.01232103309523067
Adelanto,2014,1128,4687452,146070,8031438,,,7159700,5887572,1494130,214759,0,1538640,0,0,146873,,,,,,,13560072,13047272,5450811,0.02694516467366049,,,,0.345680465413458,0,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",31773,17499,481,4,6358,1575,290,28,5538,0.17429893305636862,0.20010700909577314,0.5507506373335851,0.02426588612973279
Adelanto,2013,1128,4835291,153677,9315561,,,6948006,4500920,1739847,407230,0,1599790,0,0,79699,,,,,,,16666849,11448926,4800929,0.016600745397401213,,,,0.2901142861497095,0,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",31376,16307,661,6,6509,1462,170,9,6252,0.19926058133605304,0.20745155532891382,0.5197284548699643,0.026485211626721062
Adelanto,2012,1128,4716087,126920,9407919,,,6576400,6956022,1726825,568708,0,1671042,0,0,94271,,,,,,,16586669,13532422,4280867,0.022021473687456303,,,,0.28432996402110633,0,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",31040,16800,756,24,6571,1403,224,7,5255,0.16929768041237114,0.21169458762886598,0.5412371134020618,0.03157216494845361
Adelanto,2011,1128,4418060,116540,9259491,,,6669758,6495507,1056332,209339,0,1259927,0,0,156766,,,,,,,15122010,13165265,5404087,0.029008785387800013,,,,0.2921608966003858,0,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",30670,15881,683,69,6397,1559,262,63,5756,0.18767525268992502,0.20857515487447018,0.5178024127812194,0.03081186827518748
Adelanto,2010,1128,4730835,109138,17663065,,,8706221,44910207,1004015,331144,0,1377897,0,0,173884,,,,,,,26684100,53616428,7371062,0.023590087832662376,,,,0.17729040889518477,0,,,0600296,Adelanto city,06071,San Bernardino,San Bernardino County,"c(-117.439680939145, 34.5814006645471)","Adelanto city, California",29764,15316,860,115,6102,1362,426,67,5516,0.18532455315145813,0.20501276710119606,0.5145813734713076,0.04320655825829862
