county_name,entity_id,year,revenues_govfunds,revenues_propfunds,total_revenues,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi
Alameda,1,2021,3962049373,289360483,4251409856,2670708,918626,23083698,17427582,44100614,1170122461,779056841,2012870071,0.021909319749630278,0.0013268158926289684,06001,"Alameda County, California",1673133,374542,524980,5248,166017,81275,12699,8642,499730,0.298679184499977,0.09922522596828824,0.22385668084963956,0.3213605852015351
Alameda,1,2020,3463034126,289870816,3752904942,3150365,1178323,12521297,15284160,32134145,1065654894,498892799,1898486433,0.016926191539447254,0.0016594087506971403,06001,"Alameda County, California",1661584,369546,515105,4942,167316,76404,12924,6764,508583,0.3060832314225462,0.10069668460938477,0.22240584887673448,0.31778652177681055
Alameda,1,2019,3333075003,276921503,3609996506,3789527,1421552,10394481,15751553,31357113,1071719342,442527824,1818827837,0.017240286497770377,0.0020834995610417412,06001,"Alameda County, California",1656754,371019,496006,5210,171168,74220,13277,5407,520447,0.314136558595905,0.10331527794711828,0.22394332532168323,0.30739808082551784
Alameda,1,2018,2796406914,261401114,3057808028,3856469,1425338,17557806,14949932,37789545,925186730,458565287,1412654897,0.026750726649694967,0.0027299441697967654,06001,"Alameda County, California",1643700,369061,483067,5288,172329,72395,13192,4977,523391,0.3184224615197421,0.10484212447526921,0.22453063211048244,0.3019157997201436
Alameda,1,2017,2692683202,248724553,2941407755,4154368,1482516,13760538,15127802,34525224,972480792,446021362,1274181048,0.02709601124125337,0.003260422062093016,06001,"Alameda County, California",1629615,367041,468356,5008,175063,71777,13000,4489,524881,0.32208895966225154,0.10742598711965709,0.22523172651209028,0.29538019716313363
Alpine,2,2021,20135835,3245,20139080,106856,34553,,103548,244957,7622495,1791123,10722217,0.02284574169688974,0.009965849413418885,06003,"Alpine County, California",1344,197,10,354,8,45,0,0,730,0.5431547619047619,0.005952380952380952,0.14657738095238096,0.00744047619047619
Alpine,2,2020,22694161,38521,22732682,128688,39082,,22589,190359,8487130,3316637,10890394,0.017479532880077617,0.011816652363541668,06003,"Alpine County, California",1159,183,6,333,10,32,0,0,595,0.5133735979292493,0.008628127696289905,0.15789473684210525,0.005176876617773943
Alpine,2,2019,20980681,104526,21085207,132261,41712,,76787,250760,7888568,1565957,11526156,0.021755735390012073,0.011474857706246558,06003,"Alpine County, California",1039,130,10,314,9,25,0,0,551,0.5303176130895092,0.008662175168431183,0.12512030798845045,0.009624639076034648
Alpine,2,2018,20470009,,,164544,52997,,129654,347195,7823895,1892344,10753770,0.03228588671693741,0.015301052561101827,06003,"Alpine County, California",1146,105,8,294,9,52,0,0,678,0.5916230366492147,0.007853403141361256,0.09162303664921466,0.006980802792321117
Alpine,2,2017,18935581,,,165983,63796,,216289,446068,7356385,1637344,9941852,0.04486769668267039,0.016695380297353048,06003,"Alpine County, California",1203,117,8,248,18,35,0,0,777,0.6458852867830424,0.014962593516209476,0.09725685785536159,0.006650041562759767
