GEOID,county,tract,state,place,stab,CountyName,PlaceName,pop20,afact
06095250103,06095,2501.03,06,81666,CA,Solano CA,Vallejo,4804,1
06095250104,06095,2501.04,06,81666,CA,Solano CA,Vallejo,2257,1
06095250105,06095,2501.05,06,81666,CA,Solano CA,Vallejo,7243,1
06095250106,06095,2501.06,06,81666,CA,Solano CA,Vallejo,3679,0.9986
06095250106,06095,2501.06,06,99999,CA,Solano CA,Unincorporated,5,0.0014
06095250200,06095,2502,06,81666,CA,Solano CA,Vallejo,4143,0.968
06095250200,06095,2502,06,99999,CA,Solano CA,Unincorporated,137,0.032
06095250300,06095,2503,06,81666,CA,Solano CA,Vallejo,3539,1
06095250400,06095,2504,06,81666,CA,Solano CA,Vallejo,3272,0.9703
06095250400,06095,2504,06,99999,CA,Solano CA,Unincorporated,100,0.0297
06095250501,06095,2505.01,06,81666,CA,Solano CA,Vallejo,1506,0.6799
06095250501,06095,2505.01,06,99999,CA,Solano CA,Unincorporated,709,0.3201
06095250502,06095,2505.02,06,81666,CA,Solano CA,Vallejo,3266,1
06095250601,06095,2506.01,06,81666,CA,Solano CA,Vallejo,3968,0.821
06095250601,06095,2506.01,06,99999,CA,Solano CA,Unincorporated,865,0.179
06095250604,06095,2506.04,06,81666,CA,Solano CA,Vallejo,3731,0.9696
06095250604,06095,2506.04,06,99999,CA,Solano CA,Unincorporated,117,0.0304
06095250605,06095,2506.05,06,05290,CA,Solano CA,Benicia,7,0.0017
06095250605,06095,2506.05,06,81666,CA,Solano CA,Vallejo,4005,0.9983
06095250701,06095,2507.01,06,81666,CA,Solano CA,Vallejo,3389,0.9758
06095250701,06095,2507.01,06,99999,CA,Solano CA,Unincorporated,84,0.0242
06095250801,06095,2508.01,06,81666,CA,Solano CA,Vallejo,4857,0.988
06095250801,06095,2508.01,06,99999,CA,Solano CA,Unincorporated,59,0.012
06095250900,06095,2509,06,81666,CA,Solano CA,Vallejo,3038,1
06095251000,06095,2510,06,81666,CA,Solano CA,Vallejo,2742,1
06095251100,06095,2511,06,81666,CA,Solano CA,Vallejo,2111,0.6049
06095251100,06095,2511,06,99999,CA,Solano CA,Unincorporated,1379,0.3951
06095251200,06095,2512,06,81666,CA,Solano CA,Vallejo,3639,1
06095251300,06095,2513,06,81666,CA,Solano CA,Vallejo,3168,1
06095251400,06095,2514,06,81666,CA,Solano CA,Vallejo,6010,1
06095251500,06095,2515,06,81666,CA,Solano CA,Vallejo,3992,1
06095251600,06095,2516,06,81666,CA,Solano CA,Vallejo,2694,1
06095251701,06095,2517.01,06,81666,CA,Solano CA,Vallejo,3800,1
06095251702,06095,2517.02,06,81666,CA,Solano CA,Vallejo,2819,1
